date,close,return
2014-03-27,558.46,1.53
2014-03-28,559.99,-3.02
2014-03-31,556.97,10.19
2014-04-01,567.16,-0.16
2014-04-02,567.0,2.74
2014-04-03,569.74,-26.6
2014-04-04,543.14,-4.99
2014-04-07,538.15,16.75
2014-04-08,554.9,9.24
2014-04-09,564.14,-23.19
2014-04-10,540.95,-10.35
2014-04-11,530.6,1.92
2014-04-14,532.52,3.92
2014-04-15,536.44,20.1
2014-04-16,556.54,-20.44
2014-04-17,536.1,-7.48
2014-04-21,528.62,6.19
2014-04-22,534.81,-7.87
2014-04-23,526.94,-1.78
2014-04-24,525.16,-8.98
2014-04-25,516.18,0.97
2014-04-28,517.15,10.55
2014-04-29,527.7,-1.04
2014-04-30,526.66,4.69
2014-05-01,531.35,-3.42
2014-05-02,527.93,-0.12
2014-05-05,527.81,-12.67
2014-05-06,515.14,-5.18
2014-05-07,509.96,1.04
2014-05-08,511.0,7.73
2014-05-09,518.73,11.19
2014-05-12,529.92,3.17
2014-05-13,533.09,-6.44
2014-05-14,526.65,-6.67
2014-05-15,519.98,0.65
2014-05-16,520.63,8.23
2014-05-19,528.86,0.91
2014-05-20,529.77,9.17
2014-05-21,538.94,6.12
2014-05-22,545.06,7.64
2014-05-23,552.7,13.25
2014-05-27,565.95,-4.27
2014-05-28,561.68,-1.6
2014-05-29,560.08,-0.19
2014-05-30,559.89,-5.96
2014-06-02,553.93,-8.99
2014-06-03,544.94,-0.28
2014-06-04,544.66,9.24
2014-06-05,553.9,2.43
2014-06-06,556.33,5.79
2014-06-09,562.12,-1.57
2014-06-10,560.55,-1.71
2014-06-11,558.84,-7.49
2014-06-12,551.35,0.41
2014-06-13,551.76,-7.48
2014-06-16,544.28,-1.27
2014-06-17,543.01,10.36
2014-06-18,553.37,1.53
2014-06-19,554.9,1.46
2014-06-20,556.36,8.59
2014-06-23,564.95,-0.33
2014-06-24,564.62,14.03
2014-06-25,578.65,-2.65
2014-06-26,576.0,1.24
2014-06-27,577.24,-1.96
2014-06-30,575.28,7.39
2014-07-01,582.67,-0.335
2014-07-02,582.335,2.395
2014-07-03,584.73,-2.48
2014-07-07,582.25,-11.16
2014-07-08,571.09,4.99
2014-07-09,576.08,-4.98
2014-07-10,571.1,8.08
2014-07-11,579.18,5.69
2014-07-14,584.87,-0.09
2014-07-15,584.78,-2.12
2014-07-16,582.66,-8.9301
2014-07-17,573.7299,21.3501
2014-07-18,595.08,-5.61
2014-07-21,589.47,5.27
2014-07-22,594.74,1.24
2014-07-23,595.98,-2.63
