Date,Open,High,Low,Close,Adj Close,Volume
2013-03-04,538.520020,539.849976,537.359985,537.380005,537.380005,372100
2013-03-05,540.429993,544.109985,540.429993,543.960022,543.960022,455100
2013-03-06,547.570007,547.609985,542.700012,544.359985,544.359985,486300
2013-03-07,545.400024,545.419983,538.289978,541.299988,541.299988,509600
2013-03-08,542.789978,544.010010,539.590027,543.099976,543.099976,0
2013-03-11,null,null,null,null,null,null
2013-03-12,null,null,null,null,null,null
2013-03-13,null,null,null,null,null,null
2013-03-14,null,null,null,null,null,null
2013-03-15,556.630005,556.630005,553.419983,554.809998,554.809998,0
2013-03-18,null,null,null,null,null,null
2013-03-19,null,null,null,null,null,null
2013-03-20,null,null,null,null,null,null
2013-03-21,null,null,null,null,null,null
2013-03-22,546.219971,551.429993,546.099976,551.250000,551.250000,0
2013-03-25,null,null,null,null,null,null
2013-03-26,null,null,null,null,null,null
2013-03-27,null,null,null,null,null,null
2013-03-28,null,null,null,null,null,null
2013-03-29,null,null,null,null,null,null
2013-04-01,null,null,null,null,null,null
2013-04-02,null,null,null,null,null,null
2013-04-03,null,null,null,null,null,null
2013-04-04,null,null,null,null,null,null
2013-04-05,556.919983,558.289978,543.570007,547.510010,547.510010,0
2013-04-08,547.179993,548.090027,528.780029,528.780029,528.780029,459600
2013-04-09,526.039978,535.299988,517.099976,528.150024,528.150024,494100
2013-04-10,530.919983,534.840027,527.750000,534.840027,534.840027,395900
2013-04-11,540.070007,544.530029,535.770020,544.299988,544.299988,440500
2013-04-12,547.650024,551.020020,546.719971,547.190002,547.190002,0
2013-04-15,550.090027,554.309998,549.640015,553.989990,553.989990,417300
2013-04-16,548.450012,558.950012,548.330017,558.950012,558.950012,437500
2013-04-17,562.500000,563.390015,556.650024,558.539978,558.539978,467400
2013-04-18,556.609985,558.929993,551.099976,551.099976,551.099976,416500
2013-04-19,549.780029,551.059998,540.159973,541.460022,541.460022,448200
2013-04-22,null,null,null,null,null,null
2013-04-23,null,null,null,null,null,null
2013-04-24,null,null,null,null,null,null
2013-04-25,564.640015,565.830017,559.000000,559.400024,559.400024,0
2013-04-26,562.690002,565.640015,562.059998,565.349976,565.349976,0
2013-04-29,null,null,null,null,null,null
2013-04-30,570.239990,570.280029,562.309998,563.869995,563.869995,0
2013-05-02,null,null,null,null,null,null
2013-05-03,563.869995,565.330017,559.489990,565.330017,565.330017,0
2013-05-06,null,null,null,null,null,null
2013-05-07,null,null,null,null,null,null
2013-05-08,null,null,null,null,null,null
2013-05-09,null,null,null,null,null,null
2013-05-10,574.510010,574.510010,569.440002,569.700012,569.700012,0
2013-05-13,null,null,null,null,null,null
2013-05-14,null,null,null,null,null,null
2013-05-15,null,null,null,null,null,null
2013-05-16,568.609985,568.619995,565.869995,566.059998,566.059998,0
2013-05-20,null,null,null,null,null,null
2013-05-21,null,null,null,null,null,null
2013-05-22,null,null,null,null,null,null
2013-05-23,null,null,null,null,null,null
2013-05-24,572.260010,574.070007,569.419983,574.059998,574.059998,0
2013-05-27,null,null,null,null,null,null
2013-05-28,null,null,null,null,null,null
2013-05-29,null,null,null,null,null,null
2013-05-30,null,null,null,null,null,null
2013-05-31,583.140015,583.809998,571.609985,577.869995,577.869995,0
2013-06-03,null,null,null,null,null,null
2013-06-04,null,null,null,null,null,null
2013-06-05,560.380005,560.559998,549.090027,549.090027,549.090027,0
2013-06-07,550.340027,551.570007,531.030029,535.750000,535.750000,0
2013-06-10,null,null,null,null,null,null
2013-06-11,null,null,null,null,null,null
2013-06-12,null,null,null,null,null,null
2013-06-13,null,null,null,null,null,null
2013-06-14,545.979980,546.549988,534.309998,536.039978,536.039978,0
2013-06-17,null,null,null,null,null,null
2013-06-18,null,null,null,null,null,null
2013-06-19,null,null,null,null,null,null
2013-06-20,null,null,null,null,null,null
2013-06-21,513.580017,520.890015,507.299988,520.890015,520.890015,0
2013-06-24,null,null,null,null,null,null
2013-06-25,null,null,null,null,null,null
2013-06-26,null,null,null,null,null,null
2013-06-27,null,null,null,null,null,null
2013-06-28,516.630005,519.650024,514.630005,519.059998,519.059998,0
2013-07-01,null,null,null,null,null,null
2013-07-02,null,null,null,null,null,null
2013-07-03,null,null,null,null,null,null
2013-07-04,null,null,null,null,null,null
2013-07-05,528.039978,529.750000,522.770020,525.400024,525.400024,0
2013-07-08,null,null,null,null,null,null
2013-07-09,null,null,null,null,null,null
2013-07-10,null,null,null,null,null,null
2013-07-11,null,null,null,null,null,null
2013-07-12,530.369995,532.479980,528.229980,532.469971,532.469971,0
2013-07-15,null,null,null,null,null,null
2013-07-16,null,null,null,null,null,null
2013-07-17,null,null,null,null,null,null
2013-07-18,null,null,null,null,null,null
2013-07-19,545.429993,546.080017,540.320007,541.869995,541.869995,0
2013-07-22,null,null,null,null,null,null
2013-07-23,null,null,null,null,null,null
2013-07-24,null,null,null,null,null,null
2013-07-25,null,null,null,null,null,null
2013-07-26,543.869995,545.330017,542.510010,545.309998,545.309998,0
2013-07-29,547.260010,547.690002,540.979980,540.979980,540.979980,0
2013-07-30,542.859985,546.429993,542.640015,546.429993,546.429993,366000
2013-07-31,548.719971,554.650024,547.780029,554.309998,554.309998,354800
2013-08-01,557.679993,557.789978,549.520020,549.520020,549.520020,328000
2013-08-02,553.239990,554.650024,549.669983,551.760010,551.760010,336300
2013-08-05,553.679993,556.919983,553.320007,556.599976,556.599976,342500
2013-08-06,558.380005,558.950012,554.979980,557.359985,557.359985,347100
2013-08-07,556.940002,559.140015,554.729980,554.729980,554.729980,352900
2013-08-08,556.929993,558.010010,555.059998,555.299988,555.299988,341200
2013-08-09,556.789978,557.099976,553.650024,554.929993,554.929993,349800
2013-08-12,555.150024,555.460022,549.130005,550.250000,550.250000,376500
2013-08-13,552.059998,552.520020,548.510010,550.849976,550.849976,459800
2013-08-14,553.599976,554.380005,550.869995,550.869995,550.869995,419700
2013-08-16,544.770020,549.789978,544.599976,548.789978,548.789978,397000
2013-08-19,550.750000,551.219971,549.349976,550.489990,550.489990,396200
2013-08-20,550.000000,551.460022,537.559998,537.570007,537.570007,516300
2013-08-21,540.210022,540.710022,523.929993,530.539978,530.539978,503900
2013-08-22,524.869995,525.059998,514.640015,517.640015,517.640015,461300
2013-08-23,523.549988,529.380005,523.549988,529.190002,529.190002,321600
2013-08-26,532.429993,533.909973,532.369995,533.729980,533.729980,332500
2013-08-27,533.500000,533.940002,523.919983,524.390015,524.390015,384900
2013-08-28,514.590027,519.799988,511.649994,517.440002,517.440002,387600
2013-08-29,520.929993,523.190002,520.359985,520.369995,520.369995,301600
2013-08-30,522.109985,523.039978,515.830017,516.739990,516.739990,399600
2013-09-02,518.619995,525.190002,518.619995,525.179993,525.179993,0
2013-09-03,527.710022,529.200012,525.700012,525.890015,525.890015,343800
2013-09-04,526.950012,527.239990,525.229980,526.159973,526.159973,348300
2013-09-05,529.190002,529.669983,527.979980,528.059998,528.059998,351600
2013-09-06,529.750000,530.140015,523.030029,523.770020,523.770020,457600
2013-09-09,526.669983,526.849976,520.219971,521.109985,521.109985,469200
2013-09-10,523.849976,524.229980,520.530029,523.150024,523.150024,317300
2013-09-11,526.380005,529.340027,526.280029,529.340027,529.340027,278300
2013-09-12,530.869995,532.239990,527.659973,529.580017,529.580017,290200
2013-09-13,530.690002,531.760010,530.340027,530.890015,530.890015,247200
2013-09-16,528.840027,529.400024,526.200012,526.200012,526.200012,245500
2013-09-17,527.539978,528.169983,525.760010,527.109985,527.109985,221800
2013-09-23,528.909973,529.979980,526.770020,527.070007,527.070007,258500
2013-09-24,527.309998,528.890015,523.840027,527.289978,527.289978,304100
2013-09-25,528.950012,529.559998,525.510010,527.270020,527.270020,284300
2013-09-26,528.590027,532.960022,528.590027,532.830017,532.830017,268900
2013-09-27,535.210022,537.700012,535.039978,537.500000,537.500000,293700
2013-09-30,538.000000,538.000000,534.489990,534.890015,534.890015,297000
2013-10-01,534.090027,536.010010,524.859985,530.349976,530.349976,352700
2013-10-02,534.260010,534.830017,531.789978,532.020020,532.020020,288900
2013-10-04,531.679993,532.940002,527.880005,532.010010,532.010010,287100
2013-10-07,533.789978,534.559998,528.429993,528.440002,528.440002,300700
2013-10-08,527.510010,528.830017,525.070007,528.830017,528.830017,315900
2013-10-10,528.500000,531.450012,528.500000,529.039978,529.039978,304400
2013-10-11,534.330017,534.710022,532.299988,532.599976,532.599976,318000
2013-10-14,534.580017,534.669983,531.500000,531.659973,531.659973,352100
2013-10-15,534.280029,535.320007,532.500000,533.119995,533.119995,363000
2013-10-16,534.900024,535.489990,524.549988,525.679993,525.679993,411600
2013-10-17,530.090027,530.150024,519.929993,521.520020,521.520020,347500
2013-10-18,522.510010,525.690002,521.599976,525.690002,525.690002,294300
2013-10-21,527.969971,529.390015,526.710022,529.340027,529.340027,286300
2013-10-22,530.260010,531.900024,529.400024,531.890015,531.890015,310900
2013-10-23,533.989990,533.989990,525.369995,525.380005,525.380005,339000
2013-10-24,526.210022,531.039978,524.359985,531.030029,531.030029,323100
2013-10-25,533.429993,534.280029,531.799988,534.020020,534.020020,333900
2013-10-28,536.380005,536.770020,533.960022,534.979980,534.979980,332000
2013-10-29,535.900024,536.190002,533.469971,533.909973,533.909973,328200
2013-10-30,535.979980,538.080017,535.000000,537.679993,537.679993,347700
2013-10-31,537.710022,537.710022,532.440002,532.440002,532.440002,313100
2013-11-01,533.900024,534.869995,533.409973,534.739990,534.739990,366500
2013-11-04,536.210022,536.460022,533.630005,533.640015,533.640015,310700
2013-11-05,535.000000,535.219971,528.239990,528.729980,528.729980,326600
2013-11-06,528.750000,529.890015,525.890015,525.989990,525.989990,319400
2013-11-07,527.909973,527.909973,520.210022,520.650024,520.650024,344500
2013-11-08,517.020020,521.059998,515.609985,515.739990,515.739990,311400
2013-11-11,517.369995,517.919983,502.440002,502.940002,502.940002,364300
2013-11-12,504.130005,510.730011,504.130005,510.730011,510.730011,288500
2013-11-13,511.619995,512.830017,504.920013,505.600006,505.600006,298300
2013-11-14,509.350006,511.890015,506.850006,511.750000,511.750000,275800
2013-11-15,514.070007,514.669983,512.000000,512.739990,512.739990,313000
2013-11-18,515.219971,515.219971,508.980011,509.540009,509.540009,290400
