date,close,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,return
2008-04-03,1369.31,1.78,-0.87,46.61,54.09,43.55,28.18,16.32,19.43,39.8,0.0796021353821
2008-04-04,1370.4,1.09,2.87,0.22,47.7,55.18,44.64,29.27,17.41,20.52,0.156158785756
2008-04-07,1372.54,2.14,3.23,5.01,2.36,49.84,57.32,46.78,31.41,19.55,-0.510003351451
2008-04-08,1365.54,-7.0,-4.86,-3.77,-1.99,-4.64,42.84,50.32,39.78,24.41,-0.809203684989
2008-04-09,1354.49,-11.05,-18.05,-15.91,-14.82,-13.04,-15.69,31.79,39.27,28.73,0.447400866747
2008-04-10,1360.55,6.06,-4.99,-11.99,-9.85,-8.76,-6.98,-9.63,37.85,45.33,-2.037411341
2008-04-11,1332.83,-27.72,-21.66,-32.71,-39.71,-37.57,-36.48,-34.7,-37.35,10.13,-0.338377737596
2008-04-14,1328.32,-4.51,-32.23,-26.17,-37.22,-44.22,-42.08,-40.99,-39.21,-41.86,0.459979523007
2008-04-15,1334.43,6.11,1.6,-26.12,-20.06,-31.11,-38.11,-35.97,-34.88,-33.1,2.26913363758
2008-04-16,1364.71,30.28,36.39,31.88,4.16,10.22,-0.83,-7.83,-5.69,-4.6,0.0622842948319
2008-04-17,1365.56,0.85,31.13,37.24,32.73,5.01,11.07,0.02,-6.98,-4.84,1.81390784733
2008-04-18,1390.33,24.77,25.62,55.9,62.01,57.5,29.78,35.84,24.79,17.79,-0.155358799709
2008-04-21,1388.17,-2.16,22.61,23.46,53.74,59.85,55.34,27.62,33.68,22.63,-0.881016013889
2008-04-22,1375.94,-12.23,-14.39,10.38,11.23,41.51,47.62,43.11,15.39,21.45,0.289983574865
2008-04-23,1379.93,3.99,-8.24,-10.4,14.37,15.22,45.5,51.61,47.1,19.38,0.644235577167
2008-04-24,1388.82,8.89,12.88,0.65,-1.51,23.26,24.11,54.39,60.5,55.99,0.649472213822
2008-04-25,1397.84,9.02,17.91,21.9,9.67,7.51,32.28,33.13,63.41,69.52,-0.105162250329
2008-04-28,1396.37,-1.47,7.55,16.44,20.43,8.2,6.04,30.81,31.66,61.94,-0.388865415327
2008-04-29,1390.94,-5.43,-6.9,2.12,11.01,15.0,2.77,0.61,25.38,26.23,-0.384631975499
2008-04-30,1385.59,-5.35,-10.78,-12.25,-3.23,5.66,9.65,-2.58,-4.74,20.03,1.71407126206
2008-05-01,1409.34,23.75,18.4,12.97,11.5,20.52,29.41,33.4,21.17,19.01,0.323555706927
2008-05-02,1413.9,4.56,28.31,22.96,17.53,16.06,25.08,33.97,37.96,25.73,-0.453355965768
2008-05-05,1407.49,-6.41,-1.85,21.9,16.55,11.12,9.65,18.67,27.56,31.55,0.765191937421
2008-05-06,1418.26,10.77,4.36,8.92,32.67,27.32,21.89,20.42,29.44,38.33,-1.81137450115
2008-05-07,1392.57,-25.69,-14.92,-21.33,-16.77,6.98,1.63,-3.8,-5.27,3.75,0.366947442498
2008-05-08,1397.68,5.11,-20.58,-9.81,-16.22,-11.66,12.09,6.74,1.31,-0.16,-0.672543071375
2008-05-09,1388.28,-9.4,-4.29,-29.98,-19.21,-25.62,-21.06,2.69,-2.66,-8.09,1.10208315325
2008-05-12,1403.58,15.3,5.9,11.01,-14.68,-3.91,-10.32,-5.76,17.99,12.64,-0.0384730474928
2008-05-13,1403.04,-0.54,14.76,5.36,10.47,-15.22,-4.45,-10.86,-6.3,17.45,0.400558786635
2008-05-14,1408.66,5.62,5.08,20.38,10.98,16.09,-9.6,1.17,-5.24,-0.68,1.05845271393
2008-05-15,1423.57,14.91,20.53,19.99,35.29,25.89,31.0,5.31,16.08,9.67,0.125037757188
2008-05-16,1425.35,1.78,16.69,22.31,21.77,37.07,27.67,32.78,7.09,17.86,0.089802504648
2008-05-19,1426.63,1.28,3.06,17.97,23.59,23.05,38.35,28.95,34.06,8.37,-0.927360282624
2008-05-20,1413.4,-13.23,-11.95,-10.17,4.74,10.36,9.82,25.12,15.72,20.83,-1.6053488043
2008-05-21,1390.71,-22.69,-35.92,-34.64,-32.86,-17.95,-12.33,-12.87,2.43,-6.97,0.261736810694
2008-05-22,1394.35,3.64,-19.05,-32.28,-31.0,-29.22,-14.31,-8.69,-9.23,6.07,-1.32104564851
2008-05-23,1375.93,-18.42,-14.78,-37.47,-50.7,-49.42,-47.64,-32.73,-27.11,-27.65,0.684627851708
2008-05-27,1385.35,9.42,-9.0,-5.36,-28.05,-41.28,-40.0,-38.22,-23.31,-17.69,0.396289746274
2008-05-28,1390.84,5.49,14.91,-3.51,0.13,-22.56,-35.79,-34.51,-32.73,-17.82,0.533490552472
